Trust:Advogato [b334]	D$=$	\textsf{AD}	\href{http://www.trustlet.org/wiki/Advogato_dataset}{Advogato}	User--user trust	6,535	51,397
Co-occurrence:Amazon [b556]	U$-$	\textsf{AM}	\href{http://snap.stanford.edu/data/amazon0601.html}{Amazon}	Item--item co-purchase	403,394	3,387,388
Communication:U.-Rovira-i-Virgili [b570]	D$-$	\textsf{A@}	\href{http://deim.urv.cat/~aarenas/data/welcome.htm}{U. Rovira i Virgili}	User--user email	1,133	10,902
Interaction:{\it{Caenorhabditis-elegans}} [b572]	U$=$	\textsf{PM}	\href{http://deim.urv.cat/~aarenas/data/welcome.htm}{{\it{Caenorhabditis elegans}}}	Metabolite--metabolite interaction	453	4,596
Communication:Pretty-Good-Privacy [b571]	U$=$	\textsf{PG}	\href{http://deim.urv.cat/~aarenas/data/welcome.htm}{Pretty Good Privacy}	User--user interaction	10,680	24,340
Physical:Route-Views [b242]	U$-$	\textsf{AS}	\href{http://snap.stanford.edu/data/as.html}{Route Views}	AS--AS connection	6,474	13,895
Physical:CAIDA [b242]	U$-$	\textsf{IN}	\href{http://snap.stanford.edu/data/as-caida.html}{CAIDA}	AS--AS connection	26,475	106,762
Physical:Skitter [b242]	U$-$	\textsf{SK}	\href{http://snap.stanford.edu/data/as-skitter.html}{Skitter}	AS--AS connection	1,696,415	11,095,298
Folksonomy:BibSonomy [b346]	T$-$\Clocklogo	\textsf{B}	\href{http://www.kde.cs.uni-kassel.de/bibsonomy/dumps}{BibSonomy}	User--tag--publication assignment	5,794 + 204,673 + 771,290	2,555,080
Ratings:BookCrossing [b523]	B$\APLstar$	\textsf{BX}	\href{http://www.informatik.uni-freiburg.de/~cziegler/BX/}{BookCrossing}	User--book rating	105,283 + 340,532	1,149,742
Authorship:arXiv-astro-ph [b242]	U$-$	\textsf{AP}	\href{http://snap.stanford.edu/data/ca-AstroPh.html}{arXiv astro-ph}	Author--author collaboration	18,772	396,160
Reference:Google.com-internal [b573]	D$-$	\textsf{GC}	\href{http://cfinder.org/wiki/?n=Main.Data}{Google.com internal}	Webpage--webpage hyperlink	15,763	171,206
Reference:CiteSeer [b524]	D$-$	\textsf{CS}	\href{http://citeseer.ist.psu.edu/oai.html}{CiteSeer}	Publication--publication citation	723,131	1,764,929
Folksonomy:CiteULike [b349]	T$=$\Clocklogo	\textsf{C}	\href{http://www.citeulike.org/faq/data.adp}{CiteULike}	User--tag--publication assignment	22,715 + 153,277 + 731,769	2,411,819
Authorship:arXiv-hep-ph [b242]	U$-$\Clocklogo	\textsf{PH}	\href{http://snap.stanford.edu/data/cit-HepPh.html}{arXiv hep-ph}	Author--author collaboration	28,093	12,730,098
Authorship:arXiv-hep-th [b242]	U$-$\Clocklogo	\textsf{TH}	\href{http://snap.stanford.edu/data/cit-HepTh.html}{arXiv hep-th}	Author--author collaboration	22,908	11,209,368
Interaction:Haggle [b532]	U$=$\Clocklogo	\textsf{CO}	\href{http://www.cl.cam.ac.uk/research/srg/netos/haggle/}{Haggle}	Person--person contact	274	28,244
Authorship:DBLP [b525]	B$-$	\textsf{Pa}	\href{http://dblp.uni-trier.de/xml/}{DBLP}	Author--publication authorship	849,449 + 2,275,386	4,600,857
Reference:DBLP [b525]	D$-$	\textsf{Pi}	\href{http://dblp.uni-trier.de/xml/}{DBLP}	Publication--publication citation	12,591	49,793
Authorship:DBLP [b525]	U$=$\Clocklogo	\textsf{Pc}	\href{http://dblp.uni-trier.de/xml/}{DBLP}	Author--author collaboration	801,474	9,510,516
Features:Countries [b642]	B$-$	\textsf{CN}	\href{http://wiki.dbpedia.org/Downloads}{Countries}	Entity--country location/origin	357,872 + 2,411	383,891
Features:Genre [b642]	B$-$	\textsf{GE}	\href{http://wiki.dbpedia.org/Downloads}{Genre}	Entity--genre style	227,040 + 10,970	378,380
Reference:English-Wikipedia [b642]	D$-$	\textsf{DL}	\href{http://wiki.dbpedia.org/Downloads}{English Wikipedia}	Article--article link	15,172,739	130,166,251
Features:Record-labels [b642]	B$-$	\textsf{RL}	\href{http://wiki.dbpedia.org/Downloads}{Record labels}	Artist--record label membership	140,446 + 18,767	191,558
Co-occurrence:Similarity [b642]	U$-$	\textsf{SI}	\href{http://wiki.dbpedia.org/Downloads}{Similarity}	Entity--entity similarity	1,944	3,050
Authorship:Movies [b642]	B$-$	\textsf{ST}	\href{http://wiki.dbpedia.org/Downloads}{Movies}	Movie--actor starring	54,803 + 69,819	210,591
Features:Teams [b642]	B$-$	\textsf{TM}	\href{http://wiki.dbpedia.org/Downloads}{Teams}	Athlete--team membership	97,469 + 29,640	401,494
Folksonomy:Delicious [wetzker:delicious-cookbook]	T$=$\Clocklogo	\textsf{D}	\href{http://dai-labor.de/IRML/datasets}{Delicious}	User--tag--URL assignment	833,081 + 4,512,303 + 33,778,416	301,187,709
Authorship:Arabic-Wikipedia [download.wikimedia.org]	B$=$\Clocklogo	\textsf{ar}	\href{http://download.wikimedia.org/}{Arabic Wikipedia}	User--article edit	45,796 + 749,714	4,578,676
Authorship:Bengali-Wikipedia [download.wikimedia.org]	B$=$\Clocklogo	\textsf{bn}	\href{http://download.wikimedia.org/}{Bengali Wikipedia}	User--article edit	2,313 + 107,110	667,265
Authorship:Breton-Wikipedia [download.wikimedia.org]	B$=$\Clocklogo	\textsf{br}	\href{http://download.wikimedia.org/}{Breton Wikipedia}	User--article edit	2,018 + 77,915	744,824
Authorship:Catalan-Wikipedia [download.wikimedia.org]	B$=$\Clocklogo	\textsf{ca}	\href{http://download.wikimedia.org/}{Catalan Wikipedia}	User--article edit	21,807 + 655,913	5,401,060
Authorship:Welsh-Wikipedia [download.wikimedia.org]	B$=$\Clocklogo	\textsf{cy}	\href{http://download.wikimedia.org/}{Welsh Wikipedia}	User--article edit	2,419 + 70,287	819,482
Authorship:German-Wikipedia [download.wikimedia.org]	B$=$\Clocklogo	\textsf{de}	\href{http://download.wikimedia.org/}{German Wikipedia}	User--article edit	425,842 + 3,195,148	57,323,775
Authorship:German-Wiktionary [download.wikimedia.org]	B$=$\Clocklogo	\textsf{mde}	\href{http://download.wikimedia.org/}{German Wiktionary}	User--article edit	5,824 + 146,158	1,229,501
Authorship:Greek-Wikipedia [download.wikimedia.org]	B$=$\Clocklogo	\textsf{el}	\href{http://download.wikimedia.org/}{Greek Wikipedia}	User--article edit	13,029 + 136,875	1,837,141
Authorship:English-Wikipedia [download.wikimedia.org]	B$=$\Clocklogo	\textsf{en}	\href{http://download.wikimedia.org/}{English Wikipedia}	User--article edit	3,819,691 + 21,504,191	266,769,613
Authorship:English-Wikibooks [download.wikimedia.org]	B$=$\Clocklogo	\textsf{ben}	\href{http://download.wikimedia.org/}{English Wikibooks}	User--article edit	32,583 + 134,942	1,164,576
Authorship:English-Wikinews [download.wikimedia.org]	B$=$\Clocklogo	\textsf{nen}	\href{http://download.wikimedia.org/}{English Wikinews}	User--article edit	10,764 + 163,008	901,416
Authorship:English-Wikiquote [download.wikimedia.org]	B$=$\Clocklogo	\textsf{qen}	\href{http://download.wikimedia.org/}{English Wikiquote}	User--article edit	21,607 + 94,756	549,210
Authorship:English-Wiktionary [download.wikimedia.org]	B$=$\Clocklogo	\textsf{men}	\href{http://download.wikimedia.org/}{English Wiktionary}	User--article edit	29,348 + 2,104,544	8,998,641
Authorship:Esperanto-Wikipedia [download.wikimedia.org]	B$=$\Clocklogo	\textsf{eo}	\href{http://download.wikimedia.org/}{Esperanto Wikipedia}	User--article edit	7,211 + 296,542	2,849,624
Authorship:Spanish-Wikipedia [download.wikimedia.org]	B$=$\Clocklogo	\textsf{es}	\href{http://download.wikimedia.org/}{Spanish Wikipedia}	User--article edit	335,344 + 2,953,054	27,011,506
Authorship:Basque-Wikipedia [download.wikimedia.org]	B$=$\Clocklogo	\textsf{eu}	\href{http://download.wikimedia.org/}{Basque Wikipedia}	User--article edit	4,163 + 129,814	1,572,704
Authorship:French-Wikipedia [download.wikimedia.org]	B$=$\Clocklogo	\textsf{fr}	\href{http://download.wikimedia.org/}{French Wikipedia}	User--article edit	288,275 + 4,022,276	46,168,355
Authorship:French-Wikibooks [download.wikimedia.org]	B$=$\Clocklogo	\textsf{bfr}	\href{http://download.wikimedia.org/}{French Wikibooks}	User--article edit	2,884 + 28,113	201,727
