# Dat.                  	P-PA 	A-POLY-O	A-POLYN-O	A-SINH	A-NEU-O	A-RR 	N-COM-O	N-NEU-O	L-REG	L-HEAT	X-SQU
Folksonomy:BibSonomy [[B_{ti}]]              	0.923	0.950	0.950	0.950	0.950	0.758	0.923	0.923	NaN	NaN	0.956
Folksonomy:BibSonomy [[B_{ui}]]              	0.862	0.776	0.776	0.776	0.776	0.641	0.852	0.853	NaN	NaN	0.771
Folksonomy:BibSonomy [[B_{ut}]]              	0.878	0.819	0.819	0.820	0.819	0.778	0.878	0.878	NaN	NaN	0.791
Ratings:BookCrossing [[BX]]                  	0.000	0.261	0.261	0.261	0.261	0.275	0.267	0.267	NaN	NaN	0.259
Folksonomy:CiteULike [[C_{ti}]]              	0.698	0.601	0.605	0.605	0.605	0.509	0.698	0.698	0.359	0.359	0.606
Folksonomy:CiteULike [[C_{ui}]]              	0.824	0.846	0.846	0.846	0.846	0.720	0.837	0.835	0.705	0.705	0.835
Folksonomy:CiteULike [[C_{ut}]]              	0.882	0.832	0.833	0.833	0.833	0.783	0.882	0.882	0.611	0.611	0.801
Authorship:DBLP [[Pa]]                  	0.665	0.656	0.656	0.656	0.656	0.499	0.679	0.679	NaN	NaN	0.642
Features:Countries [[CN]]                  	0.956	0.910	0.966	0.980	0.980	0.759	0.984	0.979	0.965	0.965	0.836
Features:Genre [[GE]]                  	0.688	0.547	0.552	0.555	0.555	0.500	0.685	0.685	0.624	0.624	0.524
Features:Record-labels [[RL]]                  	0.962	0.887	0.887	0.887	0.884	0.753	0.945	0.939	0.846	0.846	0.907
Authorship:Movies [[ST]]                  	0.663	0.643	0.643	0.643	0.643	0.502	0.681	0.682	0.631	0.631	0.650
Features:Teams [[TM]]                  	0.693	0.679	0.682	0.679	0.680	0.510	0.697	0.700	0.681	0.681	0.691
Authorship:Arabic-Wikipedia [[ar]]                  	0.780	0.683	0.692	0.692	0.692	0.621	0.776	0.776	0.491	0.490	0.645
Authorship:Bengali-Wikipedia [[bn]]                  	0.780	0.608	0.660	0.661	0.661	0.622	0.677	0.669	0.669	0.668	0.708
Authorship:Breton-Wikipedia [[br]]                  	0.777	0.747	0.719	0.719	0.718	0.616	0.757	0.754	0.412	0.413	0.673
Authorship:Catalan-Wikipedia [[ca]]                  	0.769	0.698	0.703	0.703	0.704	0.607	0.768	0.767	0.352	0.351	0.709
Authorship:Welsh-Wikipedia [[cy]]                  	0.780	0.769	0.759	0.758	0.758	0.623	0.755	0.749	0.496	0.496	0.686
Authorship:German-Wiktionary [[mde]]                 	0.736	0.597	0.608	0.607	0.605	0.558	0.703	0.701	0.492	0.492	0.423
Authorship:Greek-Wikipedia [[el]]                  	0.786	0.691	0.700	0.700	0.700	0.629	0.785	0.785	0.408	0.407	0.675
Authorship:English-Wikibooks [[ben]]                 	0.863	0.703	0.710	0.712	0.714	0.756	0.847	0.845	0.698	0.698	0.730
Authorship:English-Wikinews [[nen]]                 	0.843	0.797	0.790	0.791	0.790	0.513	0.857	0.845	0.451	0.451	0.774
Authorship:English-Wikiquote [[qen]]                 	0.838	0.627	0.680	0.683	0.683	0.709	0.738	0.726	0.610	0.610	0.543
Authorship:English-Wiktionary [[men]]                 	0.759	0.605	0.646	0.646	0.646	0.593	0.662	0.649	0.497	0.497	0.550
Authorship:Esperanto-Wikipedia [[eo]]                  	0.763	0.628	0.611	0.613	0.613	0.597	0.734	0.733	0.463	0.466	0.638
Authorship:Spanish-Wikipedia [[es]]                  	0.801	0.768	0.757	0.757	0.757	0.654	NaN	NaN	NaN	NaN	0.759
Authorship:Basque-Wikipedia [[eu]]                  	0.779	0.646	0.636	0.637	0.638	0.620	0.767	0.763	0.403	0.403	0.565
Authorship:French-Wikibooks [[bfr]]                 	0.741	0.721	0.721	0.725	0.724	0.457	0.807	0.802	0.524	0.525	0.703
Authorship:French-Wikinews [[nfr]]                 	0.608	0.645	0.653	0.656	0.656	0.334	0.730	0.730	0.589	0.589	0.576
Authorship:French-Wiktionary [[mfr]]                 	0.754	0.735	0.735	0.735	0.735	0.586	0.729	0.724	0.692	0.692	0.658
Authorship:Galician-Wikipedia [[gl]]                  	0.777	0.655	0.668	0.668	0.668	0.617	0.769	0.769	0.451	0.451	0.656
Authorship:Haitian-Wikipedia [[ht]]                  	0.773	0.705	0.773	0.773	0.773	0.612	0.574	0.572	0.736	0.736	0.620
Authorship:Italian-Wikipedia [[it]]                  	NaN	0.758	0.759	0.759	0.759	0.629	NaN	NaN	NaN	NaN	0.711
Authorship:Japanese-Wikipedia [[ja]]                  	NaN	0.753	0.754	0.754	0.754	0.619	NaN	NaN	NaN	NaN	0.736
Authorship:Latvian-Wikipedia [[lv]]                  	0.780	0.698	0.712	0.712	0.711	0.619	0.762	0.758	0.317	0.317	0.638
Authorship:Low-German-Wikipedia [[nds]]                 	0.790	0.738	0.760	0.776	0.777	0.636	0.790	0.789	0.585	0.586	0.723
Authorship:Dutch-Wikipedia [[nl]]                  	0.773	0.707	0.703	0.704	0.703	0.610	NaN	NaN	NaN	NaN	0.717
Authorship:Occitan-Wikipedia [[oc]]                  	0.787	0.784	0.783	0.783	0.783	0.630	0.606	0.597	0.547	0.546	0.625
Authorship:Polish-Wikipedia [[pl]]                  	NaN	0.738	0.733	0.733	0.733	0.608	NaN	NaN	NaN	NaN	0.699
Authorship:Portuguese-Wikipedia [[pt]]                  	0.771	0.680	0.676	0.677	0.677	0.606	NaN	NaN	NaN	NaN	0.675
Authorship:Russian-Wikipedia [[ru]]                  	0.798	0.740	0.742	0.742	0.742	0.647	NaN	NaN	NaN	NaN	0.751
Authorship:Slovak-Wikipedia [[sk]]                  	0.767	0.665	0.614	0.614	0.614	0.602	0.760	0.760	0.386	0.384	0.608
Authorship:Serbian-Wikipedia [[sr]]                  	0.783	0.705	0.705	0.703	0.703	0.625	0.783	0.783	0.436	0.437	0.709
Authorship:Swedish-Wikipedia [[sv]]                  	0.764	0.687	0.689	0.690	0.690	0.596	NaN	NaN	NaN	NaN	0.693
Authorship:Vietnamese-Wikipedia [[vi]]                  	0.766	0.690	0.695	0.695	0.695	0.599	0.765	0.764	0.589	0.589	0.693
