# Dat.                  	P-AA 	A-POLYN	A-EXP	A-NEU	N-POLYN	N-EXP	N-NEU	N-COM	L-COM	L-REG	L-HEAT	X-SQU
Trust:Advogato [[AD]]                  	0.929	0.903	0.927	0.916	0.806	0.857	0.686	0.853	0.677	0.681	0.681	0.895
Co-occurrence:Amazon [[AM]]                  	0.686	0.672	0.673	0.672	0.660	0.660	0.627	0.660	NaN	NaN	NaN	0.672
Communication:U.-Rovira-i-Virgili [[A@]]                  	0.866	0.952	0.961	0.901	0.959	0.969	0.644	0.964	0.970	0.924	0.926	0.933
Interaction:{\it{Caenorhabditis-elegans}} [[PM]]                  	0.938	0.889	0.926	0.887	0.917	0.938	0.615	0.939	0.862	0.858	0.856	0.873
Communication:Pretty-Good-Privacy [[PG]]                  	0.965	0.944	0.967	0.963	0.964	0.979	0.766	0.982	0.967	0.970	0.968	0.937
Physical:Route-Views [[AS]]                  	0.905	0.814	0.900	0.885	0.867	0.923	0.799	0.930	0.954	0.936	0.939	0.794
Physical:CAIDA [[IN]]                  	0.811	0.966	0.963	0.943	0.982	0.982	0.569	0.984	0.837	0.844	0.844	0.963
Physical:Skitter [[SK]]                  	NaN	0.683	0.684	0.678	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.683
Authorship:arXiv-astro-ph [[AP]]                  	0.693	0.690	0.690	0.690	0.672	0.673	0.481	0.673	0.578	0.580	0.579	0.690
Reference:Google.com-internal [[GC]]                  	0.688	0.682	0.680	0.671	0.665	0.669	0.342	0.681	0.581	0.604	0.604	0.675
Reference:CiteSeer [[CS]]                  	0.643	0.682	0.684	0.684	0.673	0.673	0.423	0.674	NaN	NaN	NaN	0.681
Authorship:arXiv-hep-ph [[PH]]                  	0.765	0.728	0.726	0.714	0.752	0.752	0.639	0.751	NaN	NaN	NaN	0.730
Authorship:arXiv-hep-th [[TH]]                  	0.766	0.720	0.712	0.691	0.751	0.751	0.648	0.752	NaN	NaN	NaN	0.720
Interaction:Haggle [[CO]]                  	0.726	0.727	0.737	0.737	0.653	0.671	0.552	0.693	0.406	0.406	0.406	0.727
Reference:DBLP [[Pi]]                  	0.908	0.955	0.959	0.941	0.950	0.949	0.760	0.949	0.910	0.913	0.913	0.954
Authorship:DBLP [[Pc]]                  	NaN	0.758	0.759	0.758	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.758
Co-occurrence:Similarity [[SI]]                  	0.893	0.880	0.937	0.910	0.957	0.968	0.779	0.982	0.964	0.995	0.995	0.879
