# Dat.                  	A-POLY-O	A-POLYN-O	A-SINH	A-NEU-O	A-RR 	X-SQU	A-POLY-O	A-POLYN-O	A-SINH	A-NEU-O	A-RR 	X-SQU
Trust:Advogato [[AD]]                  	0.849	0.848	0.848	0.847	0.669	0.862	0.885	0.885	0.885	0.885	0.669	0.886
Co-occurrence:Amazon [[AM]]                  	0.663	0.663	0.663	0.663	0.500	0.664	0.668	0.668	0.668	0.668	0.500	0.667
Communication:U.-Rovira-i-Virgili [[A@]]                  	0.811	0.826	0.825	0.819	0.659	0.820	0.813	0.814	0.814	0.813	0.659	0.717
Interaction:{\it{Caenorhabditis-elegans}} [[PM]]                  	0.888	0.872	0.872	0.873	0.629	0.883	0.842	0.841	0.841	0.841	0.629	0.719
Communication:Pretty-Good-Privacy [[PG]]                  	0.898	0.897	0.897	0.897	0.760	0.909	0.946	0.946	0.946	0.945	0.760	0.925
Physical:Route-Views [[AS]]                  	0.776	0.777	0.777	0.776	0.766	0.756	0.880	0.880	0.880	0.880	0.766	0.852
Physical:CAIDA [[IN]]                  	0.839	0.838	0.835	0.836	0.709	0.838	0.801	0.797	0.788	0.788	0.709	0.825
Physical:Skitter [[SK]]                  	0.678	0.675	0.675	0.674	0.500	0.674	0.625	0.620	0.619	0.619	0.500	0.583
Authorship:arXiv-astro-ph [[AP]]                  	0.687	0.687	0.687	0.687	0.499	0.687	0.690	0.690	0.690	0.690	0.499	0.689
Reference:Google.com-internal [[GC]]                  	0.685	0.680	0.680	0.679	0.500	0.679	0.595	0.586	0.586	0.585	0.500	0.508
Reference:CiteSeer [[CS]]                  	0.678	0.678	0.678	0.678	0.501	0.680	0.674	0.674	0.674	0.674	0.501	0.675
Authorship:arXiv-hep-ph [[PH]]                  	0.727	0.730	0.730	0.730	0.606	0.725	0.727	0.730	0.730	0.730	0.606	0.725
Authorship:arXiv-hep-th [[TH]]                  	0.719	0.720	0.720	0.720	0.600	0.715	0.719	0.719	0.720	0.719	0.600	0.715
Interaction:Haggle [[CO]]                  	0.720	0.719	0.720	0.719	0.534	0.722	0.730	0.728	0.728	0.728	0.534	0.721
Reference:DBLP [[Pi]]                  	0.947	0.946	0.946	0.946	0.779	0.952	0.909	0.908	0.908	0.908	0.779	0.903
Authorship:DBLP [[Pc]]                  	0.758	0.758	0.758	0.758	0.619	0.754	0.757	0.757	0.757	0.757	0.619	0.753
Co-occurrence:Similarity [[SI]]                  	0.881	0.881	0.867	0.867	0.750	0.918	0.857	0.857	0.857	0.857	0.750	0.830
Trust:English-Wikipedia [[EL]]                  	0.788	0.788	0.788	0.788	0.790	0.801	0.807	0.807	0.807	0.807	0.790	0.775
Communication:EU-institution [[EU]]                  	0.633	0.636	0.636	0.636	0.498	0.671	0.622	0.623	0.623	0.623	0.498	0.639
Communication:Enron [[EN]]                  	0.761	0.762	0.763	0.763	0.773	0.758	0.776	0.774	0.775	0.775	0.773	0.737
Trust:Epinions [[EP]]                  	0.270	0.270	0.270	0.270	0.193	0.308	0.265	0.265	0.265	0.265	0.193	0.232
