# Dat.                      	Rank ($\syRank$)	Eff. diam. ($\delta_{0.9}$)	Density ($d$)	Clust. coeff. ($c$)	Power-law ($\gamma$)	Largest CC	Largest SCC
Trust:Advogato Advogato ([[AD]])           	150	3.9	15.7	0.1	2.9, 2.9	0.771	0.482
Co-occurrence:Amazon Amazon ([[AM]])             	49	7.7	16.8	0.37	3.9	1.000	---
Communication:U.-Rovira-i-Virgili U. Rovira i Virgili ([[A@]])	700	4.6	19.2	0.17	4.1, 4.1	1.000	1.000
Interaction:{\it{Caenorhabditis-elegans}} {\it{Caenorhabditis elegans}} ([[PM]])	150	3.7	20.3	0.077	2.2	1.000	---
Communication:Pretty-Good-Privacy Pretty Good Privacy ([[PG]])	155	10.0	4.6	0.41	2.2	1.000	---
Physical:Route-Views Route Views ([[AS]])        	247	5.0	4.3	0.077	2.1	1.000	---
Physical:CAIDA CAIDA ([[IN]])              	63	5.0	8.1	0.42	2.1	1.000	---
Physical:Skitter Skitter ([[SK]])            	49	5.9	13.1	0.059	1.6	0.999	---
Folksonomy:BibSonomy BibSonomy ([[B_{ut}]])      	49	3.9	441.0, 12.5, 3.3	---	1.4, 1.8, 3.5	0.995	---
Ratings:BookCrossing BookCrossing ([[BX]])       	49	6.4	10.9, 3.4	---	1.8, 2.1	0.942	---
Authorship:arXiv-astro-ph arXiv astro-ph ([[AP]])     	73	5.5	42.2	0.39	2.0	0.954	---
Reference:Google.com-internal Google.com internal ([[GC]])	92	3.5	21.7	0.56	3.2, 2.0	1.000	0.784
Reference:CiteSeer CiteSeer ([[CS]])           	75	8.1	9.2	0.16	4.0, 2.5	0.505	0.022
Folksonomy:CiteULike CiteULike ([[C_{ut}]])      	49	3.8	106.2, 15.7, 3.3	---	1.4, 1.7, 2.6	0.989	---
Authorship:arXiv-hep-ph arXiv hep-ph ([[PH]])       	49	3.7	906.3	0.29	1.4	0.998	---
Authorship:arXiv-hep-th arXiv hep-th ([[TH]])       	49	3.7	978.6	0.28	1.4	0.992	---
Interaction:Haggle Haggle ([[CO]])             	5	3.6	206.2	0.74	1.4	1.000	---
Authorship:DBLP DBLP ([[Pa]])               	49	15.1	5.4, 2.0	---	2.2, 5.2	0.853	---
Reference:DBLP DBLP ([[Pi]])               	126	5.6	7.9	0.16	3.6, 2.7	0.992	0.000
Authorship:DBLP DBLP ([[Pc]])               	49	7.7	23.7	0.11	2.2	0.857	---
Features:Countries Countries ([[CN]])          	49	5.8	1.1, 159.2	---	4.4, 1.5	0.971	---
Features:Genre Genre ([[GE]])              	49	7.3	1.7, 34.5	---	5.8, 1.6	0.954	---
